No,doi-1,doi-2,cc_frequency,pub1_msa,pub2_msa,pub1_title,pub2_title,pub1_authors,pub2_authors,dc
56,10.1016/0375-9601(88)90840-7,10.1016/0375-9601(88)91034-1,394,Physics and Astronomy,Physics and Astronomy,Overlap and distinguishability of quantum states,How to differentiate between non-orthogonal states,Dieks D.,Peres A.,0
57,10.1103/RevModPhys.57.783,10.1063/1.450037,204,"Physics and Astronomy, Physics and Astronomy","Chemistry, Physics and Astronomy",Surface-enhanced spectroscopy,Charge-transfer theory of surface enhanced Raman spectroscopy: Herzberg-Teller contributions,"Moskovits M., Moskovits M., Moskovits M., Moskovits M.","Lombardi J.R., Xu J., Birke R.L., Lu T.",0
58,10.1103/PhysRevD.15.2752,10.1103/PhysRevD.7.2333,460,"Physics and Astronomy, Physics and Astronomy","Physics and Astronomy, Physics and Astronomy",Action integrals and partition functions in quantum gravity,Black holes and entropy,"Gibbons G.W., Hawking S.W.","Bekenstein J.D., Bekenstein J.D.",0
59,10.1007/BF00295861,10.1016/0022-0531(75)90050-2,127,"Social Sciences, Economics, Econometrics and Finance","Economics, Econometrics and Finance, Economics, Econometrics and Finance",The computational difficulty of manipulating an election,Strategy-proofness and Arrow's conditions: Existence and correspondence theorems for voting procedures and social welfare functions,"Bartholdi III J.J., Trick M.A., Tovey C.A.","Satterthwaite M.A., Satterthwaite M.A., Satterthwaite M.A.",1
60,10.1007/BF01209312,10.1016/0375-9601(76)90101-8,140,"Physics and Astronomy, Mathematics","Physics and Astronomy, Physics and Astronomy",Possible new strange attractors with spiral structure,An equation for continuous chaos,"Arneodo A., Tresser C., Coullet P.","Rossler O.E., Rossler O.E., Rossler O.E.",1
61,10.1016/0550-3213(90)90520-N,10.1016/0370-2693(90)91454-J,126,Physics and Astronomy,Physics and Astronomy,Duality rotations in string theory,Duality symmetric formulation of string world sheet dynamics,Duff M.J.,Tseytlin A.A.,0
62,10.1016/0550-3213(90)90520-N,10.1103/PhysRevD.48.2826,127,Physics and Astronomy,Physics and Astronomy,Duality rotations in string theory,Superspace duality in low-energy superstrings,Duff M.J.,Siegel W.,1
63,10.1016/0550-3213(90)90520-N,10.1103/PhysRevD.47.5453,118,Physics and Astronomy,Physics and Astronomy,Duality rotations in string theory,Two-vierbein formalism for string-inspired axionic gravity,Duff M.J.,Siegel W.,1
64,10.1016/0022-1236(82)90048-9,10.1016/0021-9045(89)90041-5,189,"Mathematics, Mathematics, Mathematics, Mathematics","Mathematics, Mathematics, Mathematics, Mathematics",On approximation of approximately linear mappings by linear mappings,Solution of a problem of Ulam,Rassias J.M.,Rassias J.M.,0
65,10.1016/0022-1236(82)90048-9,10.1090/S0002-9939-1978-0507327-1,306,"Mathematics, Mathematics","Mathematics, Mathematics",On approximation of approximately linear mappings by linear mappings,On the stability of the linear mapping in banach spaces,Rassias J.M.,Rassias T.M.,0
66,10.1016/0022-1236(82)90048-9,10.1155/S016117129100056X,136,Mathematics,Mathematics,On approximation of approximately linear mappings by linear mappings,On Stability of Additive Mappings,Rassias J.M.,Gajda Z.,0
67,10.1103/PhysRevLett.61.2015,10.1103/PhysRevB.23.5632,156,Physics and Astronomy,Physics and Astronomy,"Model for a quantum hall effect without landau levels: Condensed-matter realization of the """"parity anomaly""""",Quantized Hall conductivity in two dimensions,Haldane F.D.M.,Laughlin R.B.,0
68,10.1103/PhysRevLett.61.2015,10.1103/PhysRevB.14.2239,158,Physics and Astronomy,Physics and Astronomy,"Model for a quantum hall effect without landau levels: Condensed-matter realization of the """"parity anomaly""""",Energy levels and wave functions of Bloch electrons in rational and irrational magnetic fields,Haldane F.D.M.,Hofstadter D.R.,0
69,10.1103/PhysRevLett.61.2015,10.1103/PhysRevLett.49.405,746,Physics and Astronomy,Physics and Astronomy,"Model for a quantum hall effect without landau levels: Condensed-matter realization of the """"parity anomaly""""",Quantized hall conductance in a two-Dimensional periodic potential,"Haldane F.D.M., Haldane F.D.M., Haldane F.D.M., Haldane F.D.M.","Nightingale M.P., Kohmoto M., Thouless D.J., Den Nijs M.",1
70,10.1103/PhysRevLett.61.2015,10.1103/PhysRevLett.50.1395,150,Physics and Astronomy,Physics and Astronomy,"Model for a quantum hall effect without landau levels: Condensed-matter realization of the """"parity anomaly""""",Anomalous quantum Hall effect: An incompressible quantum fluid with fractionally charged excitations,Haldane F.D.M.,Laughlin R.B.,0
71,10.1103/PhysRevLett.61.2015,10.1103/PhysRevLett.45.494,373,Physics and Astronomy,Physics and Astronomy,"Model for a quantum hall effect without landau levels: Condensed-matter realization of the """"parity anomaly""""",New method for high-accuracy determination of the fine-structure constant based on quantized hall resistance,"Haldane F.D.M., Haldane F.D.M., Haldane F.D.M.","Pepper M., Dorda G., Klitzing K.V.",1
72,10.1103/PhysRevLett.61.2015,10.1103/PhysRevLett.48.1559,151,Physics and Astronomy,Physics and Astronomy,"Model for a quantum hall effect without landau levels: Condensed-matter realization of the """"parity anomaly""""",Two-dimensional magnetotransport in the extreme quantum limit,"Haldane F.D.M., Haldane F.D.M., Haldane F.D.M.","Tsui D.C., Gossard A.C., Stormer H.L.",0
73,"",10.1130/0016-7606(1989)101<0635:TDOG>2.3.CO;2,111,"Agricultural and Biological Sciences, Agricultural and Biological Sciences, Environmental Science, Environmental Science, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Agricultural and Biological Sciences","Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences",A model for trondhjemite-tonalite-dacite genesis and crustal growth via slab melting: Archean to modern comparisons,Tectonic discrimination of granitoids,"Defant M.J., Drummond M.S., Defant M.J., Drummond M.S.","Maniar P.D., Maniar P.D., Piccoli P.M., Piccoli P.M.",0
74,10.1080/00268977400100171,10.1063/1.448800,314,"Biochemistry, Genetics and Molecular Biology, Physics and Astronomy, Biochemistry, Genetics and Molecular Biology, Chemistry, Chemistry, Biochemistry, Genetics and Molecular Biology, Physics and Astronomy, Biochemistry, Genetics and Molecular Biology","Chemistry, Physics and Astronomy, Physics and Astronomy, Chemistry, Physics and Astronomy, Chemistry, Chemistry, Physics and Astronomy",Accuracy of AHn equilibrium geometries by single determinant molecular orbital theory,Ab initio effective core potentials for molecular calculations. Potentials for main group elements Na to Bi,"Pople J.A., Hariharan P.C., Pople J.A., Hariharan P.C.","Hay P.J., Hay P.J., Wadt W.R., Wadt W.R.",0
75,10.1080/00268977400100171,10.1063/1.448975,375,"Physics and Astronomy, Biochemistry, Genetics and Molecular Biology, Chemistry, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Chemistry, Biochemistry, Genetics and Molecular Biology, Physics and Astronomy","Chemistry, Chemistry, Physics and Astronomy, Physics and Astronomy, Chemistry, Chemistry, Physics and Astronomy, Physics and Astronomy",Accuracy of AHn equilibrium geometries by single determinant molecular orbital theory,Ab initio effective core potentials for molecular calculations. Potentials for K to Au including the outermost core orbitale,"Pople J.A., Hariharan P.C., Pople J.A., Hariharan P.C.","Wadt W.R., Wadt W.R., Hay P.J., Hay P.J.",0
76,10.1080/00268977400100171,10.1063/1.448799,351,"Biochemistry, Genetics and Molecular Biology, Physics and Astronomy, Physics and Astronomy, Chemistry, Chemistry, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology","Chemistry, Physics and Astronomy, Chemistry, Physics and Astronomy, Chemistry, Physics and Astronomy, Chemistry, Physics and Astronomy",Accuracy of AHn equilibrium geometries by single determinant molecular orbital theory,Ab initio effective core potentials for molecular calculations. Potentials for the transition metal atoms Sc to Hg,"Pople J.A., Hariharan P.C., Pople J.A., Hariharan P.C.","Wadt W.R., Wadt W.R., Hay P.J., Hay P.J.",0
77,10.1080/00268977400100171,10.1002/jcc.540040303,275,"Physics and Astronomy, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Chemistry, Chemistry, Physics and Astronomy","Mathematics, Chemistry, Mathematics, Mathematics, Chemistry, Chemistry, Mathematics, Chemistry",Accuracy of AHn equilibrium geometries by single determinant molecular orbital theory,"Efficient diffuse function‐augmented basis sets for anion calculations. III. The 3‐21+G basis set for first‐row elements, Li–F","Pople J.A., Hariharan P.C., Pople J.A., Hariharan P.C., Pople J.A., Hariharan P.C., Pople J.A., Hariharan P.C.","Schleyer P.V.R., Schleyer P.V.R., Spitznagel G.W., Spitznagel G.W., Chandrasekhar J., Chandrasekhar J., Clark T., Clark T.",0
78,10.1103/PhysRevD.22.2323,10.1016/0003-4916(79)90237-9,144,Physics and Astronomy,Physics and Astronomy,Klein-Gordon equation and rotating black holes,Instabilities of massive scalar perturbations of a rotating black hole,"Detweiler S., Detweiler S.","Zouros T.J.M., Eardley D.M.",1
79,10.1021/j100384a024,10.1016/0022-2860(90)80287-T,119,"Chemistry, Engineering, Chemistry, Chemistry, Chemistry, Engineering, Engineering, Engineering","Chemistry, Chemistry, Chemistry, Chemistry, Chemistry, Chemistry, Chemistry, Chemistry",Ab initio vibrational Raman and Raman optical activity spectra,Molvib - A flexible program for force field calculations,Polavarapu P.L.,Sundius T.,0
80,10.1016/0550-3213(81)90582-4,10.1016/0550-3213(83)90652-1,175,Physics and Astronomy,Physics and Astronomy,Supersymmetric technicolor,Geometric hierarchy,"Srednicki M., Fischler W., Dine M., Srednicki M., Fischler W., Dine M.","Raby S., Raby S., Raby S., Dimopoulos S., Dimopoulos S., Dimopoulos S.",1
81,10.1016/0550-3213(81)90442-9,10.1103/PhysRevD.10.4262,303,Physics and Astronomy,Physics and Astronomy,Topology of the gauge condition and new confinement phases in non-abelian gauge theories,"Strings, monopoles, and gauge fields",Hooft G.'t.,Nambu Y.,0
82,10.1016/0305-1978(77)90021-7,10.1099/00207713-24-1-54,204,"Agricultural and Biological Sciences, Agricultural and Biological Sciences, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology","Immunology and Microbiology, Immunology and Microbiology, Immunology and Microbiology, Immunology and Microbiology",Chemotaxonomy of aerobic Actinomycetes: Phospholipid composition,"Nocardia coeliaca, Nocardia autotrophica, and the nocardin strain","Lechevalier M.P., De Bievre C., Lechevalier H., Lechevalier M.P., De Bievre C., Lechevalier H., Lechevalier M.P., De Bievre C., Lechevalier H., Lechevalier M.P., De Bievre C., Lechevalier H.","Gordon R.E., Gordon R.E., Gordon R.E., Barnett D.A., Barnett D.A., Barnett D.A., Handerhan J.E., Handerhan J.E., Handerhan J.E., Hor Nay Pang C., Hor Nay Pang C., Hor Nay Pang C.",0
83,10.1016/0305-1978(77)90021-7,10.1016/0167-7012(84)90018-6,287,"Biochemistry, Genetics and Molecular Biology, Agricultural and Biological Sciences, Agricultural and Biological Sciences, Agricultural and Biological Sciences, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology","Biochemistry, Genetics and Molecular Biology, Immunology and Microbiology, Medicine, Biochemistry, Genetics and Molecular Biology, Immunology and Microbiology, Medicine",Chemotaxonomy of aerobic Actinomycetes: Phospholipid composition,An integrated procedure for the extraction of bacterial isoprenoid quinones and polar lipids,"Lechevalier M.P., De Bievre C., Lechevalier H., Lechevalier M.P., De Bievre C., Lechevalier H., Lechevalier M.P., De Bievre C., Lechevalier H., Lechevalier M.P., De Bievre C., Lechevalier H., Lechevalier M.P., De Bievre C., Lechevalier H., Lechevalier M.P., De Bievre C., Lechevalier H., Lechevalier M.P., De Bievre C., Lechevalier H.","Schaal A., Schaal A., Schaal A., Athalye M., Athalye M., Athalye M., Alderson G., Alderson G., Alderson G., Goodfellow M., Goodfellow M., Goodfellow M., Parlett J.H., Parlett J.H., Parlett J.H., O'Donnell A.G., O'Donnell A.G., O'Donnell A.G., Minnikin D.E., Minnikin D.E., Minnikin D.E.",0
84,10.1016/1048-9843(90)90009-7,10.1037/0033-2909.103.3.411,212,"Social Sciences, Business, Management and Accounting, Business, Management and Accounting, Psychology","Psychology, Psychology, Psychology, Psychology","Transformational leader behaviors and their effects on followers' trust in leader, satisfaction, and organizational citizenship behaviors",Structural Equation Modeling in Practice: A Review and Recommended Two-Step Approach,"Fetter R., MacKenzie S.B., Podsakoff P.M., Moorman R.H., Fetter R., MacKenzie S.B., Podsakoff P.M., Moorman R.H.","Gerbing D.W., Gerbing D.W., Gerbing D.W., Gerbing D.W., Anderson J.C., Anderson J.C., Anderson J.C., Anderson J.C.",0
85,10.1016/0165-0114(89)90187-5,10.1016/0165-0114(85)90090-9,195,"Mathematics, Mathematics, Computer Science, Computer Science","Mathematics, Computer Science, Computer Science, Mathematics",Multi-criteria decision analysis with fuzzy pairwise comparisons,Fuzzy hierarchical analysis,"de Graan J.G., Boender C.G.E., Lootsma F.A.","Buckley J.J., Buckley J.J., Buckley J.J.",1
86,10.1016/S0580-9517(08)70474-4,"",275,"Immunology and Microbiology, Medicine","Medicine, Medicine",5 Analysis of the Chemical Composition and Primary Structure of Murein,Peptidoglycan types of bacterial cell walls and their taxonomic implications.,"Schleifer K.H., Schleifer K.H.","Schleifer K.H., Kandler O.",1
87,10.1103/PhysRevA.8.401,10.1016/0550-3213(84)90287-6,315,"Physics and Astronomy, Physics and Astronomy","Physics and Astronomy, Physics and Astronomy",Renormalization group equation for critical phenomena,Renormalization and effective lagrangians,"Wegner F.J., Houghton A.","Polchinski J., Polchinski J.",0
88,10.1016/0370-2693(86)90347-3,10.1016/0370-2693(85)90112-1,125,Physics and Astronomy,Physics and Astronomy,Dimensional reduction caused by a cosmological constant,An exotic class of Kaluza-Klein models,Squires E.J.,Visser M.,1
89,10.1016/0550-3213(89)90122-3,10.1016/0550-3213(93)90506-K,166,Physics and Astronomy,Physics and Astronomy,Local and renormalizable action from the gribov horizon,Renormalizability of the critical limit of lattice gauge theory by BRS invariance,Zwanziger D.,Zwanziger D.,1
90,10.1016/0550-3213(74)90383-6,10.1103/PhysRevD.10.1823,105,Physics and Astronomy,Physics and Astronomy,Combining and splitting relativistic strings,Field theory of relativistic strings. II. Loops and Pomerons,"Cremmer E., Gervais J.L., Cremmer E., Gervais J.L.","Kikkawa K., Kikkawa K., Kaku M., Kaku M.",1
91,10.1103/PhysRevD.19.3524,10.1103/PhysRevD.24.3312,165,Physics and Astronomy,Physics and Astronomy,New general relativity,"Addendum to """"new general relativity""""","Shirafuji T., Hayashi K., Shirafuji T., Hayashi K.","Hayashi K., Hayashi K., Shirafuji T., Shirafuji T.",1
92,10.1016/0370-2693(83)90152-1,10.1007/BF01452567,116,Physics and Astronomy,Physics and Astronomy,Low energy supergravity and the anomalous magnetic moment of the muon,Supersymmetric electro-weak effects on gμ-2,"Kosower D.A., Krauss L.M., Sakai N., Kosower D.A., Krauss L.M., Sakai N., Kosower D.A., Krauss L.M., Sakai N., Kosower D.A., Krauss L.M., Sakai N.","Chamseddine A.H., Chamseddine A.H., Chamseddine A.H., Yuan T.-C., Yuan T.-C., Yuan T.-C., Arnowitt R., Arnowitt R., Arnowitt R., Nath P., Nath P., Nath P.",1
93,10.1016/0022-247X(83)90169-5,10.1016/0165-0114(87)90029-7,341,"Mathematics, Mathematics, Mathematics, Mathematics","Mathematics, Computer Science, Mathematics, Computer Science",Differentials of fuzzy functions,Fuzzy differential equations,"Ralescu D.A., Puri M.L.","Kaleva O., Kaleva O.",1
94,10.1016/0022-247X(83)90169-5,10.1016/0165-0114(87)90030-3,204,"Mathematics, Mathematics, Mathematics, Mathematics, Mathematics, Mathematics, Mathematics, Mathematics, Mathematics, Mathematics, Mathematics, Mathematics, Mathematics, Mathematics","Computer Science, Mathematics, Engineering, Computer Science, Computer Science, Computer Science, Decision Sciences, Decision Sciences, Mathematics, Engineering, Decision Sciences, Decision Sciences, Computer Science, Computer Science",Differentials of fuzzy functions,On the fuzzy initial value problem,"Ralescu D.A., Puri M.L.","Seikkala S., Seikkala S.",1
